origin,Ship,class,names,ages,date_DISEMBARKED,gender,race,occupation,destination,deck
Southampton,Titanic,Third,"Nicole, Woo",31,1912-04-16,Female,Black,Weaver,New York,5
Southampton,Titanic,Second,"Austin, Delger",7,1912-04-15,Female,Black,Baker,New York,3
Liverpool,Aquitania,Third,"Eric, Quezada",37,1912-04-19,Female,Asian,Merchant,New York,5
Liverpool,Carpathia,Third,"Courtney, Doerr",41,1912-04-17,Male,Hispanic,Merchant,New York,4
Liverpool,Lusitania,Second,"William, Miller",5,1912-04-19,Male,Other,Carpenter,New York,1
Liverpool,Mauretania,Third,"Liana, Mcgowan",55,1912-04-18,Female,Hispanic,Carpenter,New York,1
Liverpool,Lusitania,Third,"Jamal, Washington",4,1912-04-18,Male,Black,Merchant,New York,1
Liverpool,Adriatic,Second,"Ana, Vargas",10,1912-04-17,Female,White,Carpenter,Cherbourg,4
Liverpool,Lusitania,Second,"Cassandra, Spady",19,1912-04-18,Female,Other,Tailor,New York,2
Liverpool,Mauretania,Third,"David, Eckstrom",57,1912-04-20,Male,Black,None,New York,2
Liverpool,Baltic,Third,"Niavis, Waite",98,1912-04-17,Male,Black,Mason,New York,3
Liverpool,Mauretania,Second,"Raymond, Crowghost",100,1912-04-18,Male,Black,Miner,New York,3
Southampton,Britannic,First,"Silvia, Delacruz-naranjo",40,1912-04-15,Male,Other,Weaver,New York,4
Liverpool,Aquitania,First,"Christian, Etchells",56,1912-04-15,Male,White,Baker,New York,2
Liverpool,Adriatic,Third,"Michael, Nguyen",1,1912-04-18,Male,Black,Shoemaker,New York,1
Liverpool,Lusitania,Third,"Destiny, Ruiz-esparza",3,1912-04-20,Male,Other,Baker,New York,1
Southampton,Britannic,First,"Ashely, Lords",66,1912-04-16,Male,Asian,Blacksmith,New York,3
Liverpool,Adriatic,Second,"Gregory, Frias Chavez",26,1912-04-16,Male,Hispanic,Tailor,New York,2
Liverpool,Lusitania,Second,"Hershel, Kabotie",59,1912-04-20,Female,Asian,Farmer,Cherbourg,3
Southampton,Olympic,Third,"Robinson, Xatkoun",1,1912-04-17,Male,Asian,Shoemaker,New York,2
Liverpool,Adriatic,Second,"Jasmine, Estrada",89,1912-04-15,Male,Black,None,New York,4
Liverpool,Aquitania,Third,"Sean, Phu",16,1912-04-17,Female,Black,Shoemaker,New York,5
Liverpool,Lusitania,First,"Kendra, Hill",18,1912-04-19,Male,Other,Miner,New York,5
Southampton,Britannic,Second,"Elisabeth, Thornton",7,1912-04-20,Female,White,None,New York,4
Liverpool,Aquitania,Second,"Waajida, El-salehi",53,1912-04-15,Male,Hispanic,Tailor,New York,5
Southampton,Titanic,First,"Bryon, Ortiz",69,1912-04-20,Female,Asian,Carpenter,New York,1
Liverpool,Lusitania,Third,"Nathaniel, Cook",4,1912-04-19,Female,Other,Miner,New York,2
Southampton,Britannic,Second,"Hannah, Upadhyay",41,1912-04-19,Female,Hispanic,Miner,New York,2
Southampton,Titanic,Third,"Ian, Roberts",90,1912-04-17,Male,Asian,Shoemaker,New York,2
Liverpool,Lusitania,Third,"Sadeeqa, El-shaban",13,1912-04-18,Male,White,Carpenter,New York,1
Liverpool,Adriatic,First,"Todd, Herrera",25,1912-04-19,Male,Asian,Farmer,New York,3
Liverpool,Celtic,Second,"Waseem, Al-yasin",4,1912-04-18,Female,Asian,Weaver,New York,3
Southampton,Titanic,Second,"Wesley, Christensen",15,1912-04-18,Female,White,Merchant,New York,5
Southampton,Titanic,First,"Ramzi, Al-iman",11,1912-04-15,Male,White,Blacksmith,New York,1
Liverpool,Adriatic,First,"Jonathan, Blackmore",4,1912-04-18,Male,Black,Miner,New York,4
Southampton,Olympic,Second,"Aadil, El-abbasi",13,1912-04-18,Female,Asian,Farmer,New York,2
Southampton,Olympic,Third,"Wen Hao, Brooks",2,1912-04-20,Male,Hispanic,Blacksmith,New York,2
Southampton,Olympic,Third,"Phanesha, Marlow",0,1912-04-17,Female,Hispanic,Blacksmith,New York,5
Southampton,Titanic,Third,"Ty'lia, Harris",65,1912-04-19,Female,Black,None,New York,2
Southampton,Olympic,Second,"Guadalupe, Juarez",87,1912-04-15,Female,White,Baker,New York,3
Southampton,Britannic,Second,"Gabrielle, Mena",20,1912-04-20,Male,White,Shoemaker,New York,3
Liverpool,Baltic,Third,"Mayra, Suazo",43,1912-04-15,Male,Black,Merchant,New York,5
Southampton,Olympic,First,"Jamal, Wright-jackson",76,1912-04-18,Female,Other,Tailor,New York,4
Liverpool,Lusitania,Third,"Julia, Holiday",0,1912-04-15,Female,Black,Shoemaker,New York,5
Liverpool,Adriatic,First,"Joseph, Baig",2,1912-04-17,Male,Other,Merchant,New York,3
Southampton,Titanic,Third,"Robert, Hauptman",8,1912-04-16,Female,Black,Tailor,New York,4
Southampton,Titanic,Third,"Tiffany, Yadav",NA-,1912-04-18,Male,Hispanic,Tailor,New York,4
Liverpool,Baltic,Third,"Leonardo, Vazquez-luevano",56,1912-04-19,Female,Other,Miner,New York,3
Liverpool,Aquitania,Second,"Naomi, Olivares",21,1912-04-20,Male,Asian,Carpenter,New York,4
Liverpool,Lusitania,First,"Dede, Hoover",6,1912-04-19,Male,Hispanic,Shoemaker,New York,3
Liverpool,Mauretania,First,"Larry, Galassini",42,1912-04-19,Female,Black,Shoemaker,New York,1
Liverpool,Aquitania,Third,"Cheyenne, Mercado",86,1912-04-19,Male,Hispanic,Mason,New York,2
Southampton,Olympic,First,"Austin, Hughes",19,1912-04-18,Female,Hispanic,Farmer,New York,1
Liverpool,Baltic,Second,"Stephen, Philpot",45,1912-04-19,Male,Hispanic,Baker,New York,3
Southampton,Olympic,Second,"Dallas, Ray",63,1912-04-18,Female,Other,Shoemaker,New York,2
Southampton,Olympic,Third,"Kwame, Anderson",52,1912-04-18,Female,Black,Carpenter,New York,1
Liverpool,Baltic,Second,"Sequoya, Brussel",33,1912-04-16,Male,Hispanic,None,New York,3
Liverpool,Lusitania,First,"Donavahn, Jung",0,1912-04-18,Male,Black,Blacksmith,New York,5
Liverpool,Celtic,First,"Sha-rheya, Grant",51,1912-04-18,Female,White,Merchant,New York,3
Liverpool,Lusitania,Second,"Richard, Mitchell",37,1912-04-17,Female,White,Baker,Cherbourg,3
Southampton,Titanic,Third,"Raymond, Wilson",13,1912-04-15,Female,Other,Blacksmith,Cherbourg,2
Southampton,Olympic,First,"Jason, Martin",54,1912-04-19,Male,White,Mason,New York,5
Liverpool,Lusitania,First,"Kimberly, Flores Lopez",34,1912-04-18,Female,Black,Tailor,New York,4
Liverpool,Carpathia,First,"Thanh, Niedringhaus",80,1912-04-15,Female,Other,Mason,New York,2
Liverpool,Celtic,First,"Isaac, Campbell",26,1912-04-15,Male,Asian,Farmer,New York,2
Southampton,Titanic,First,"Andrea, Minter",35,1912-04-16,Female,White,Miner,Cherbourg,1
Liverpool,Celtic,First,"Brittany, Patterson",1,1912-04-18,Female,Hispanic,Miner,New York,2
Southampton,Britannic,Third,"Michelle, Dillingham",74,1912-04-16,Male,Other,Shoemaker,New York,5
Liverpool,Celtic,First,"Jocelyne, Prince",2,1912-04-19,Male,White,Carpenter,New York,4
Liverpool,Aquitania,Second,"Donald, Tolbertson",62,1912-04-19,Female,Other,Shoemaker,New York,2
Liverpool,Celtic,Third,"Brandon, Altman",24,1912-04-20,Female,Other,Farmer,New York,2
Liverpool,Lusitania,Third,"Chelsie, Sparks Ii",77,1912-04-20,Female,Black,Tailor,New York,1
Liverpool,Aquitania,Third,"Faseeha, Al-reza",44,1912-04-16,Female,Hispanic,Baker,New York,3
Southampton,Britannic,Second,"Maaiz, Al-saleem",42,1912-04-15,Female,Asian,None,New York,1
Liverpool,Mauretania,Second,"Terryll, Ola",NA-,1912-04-18,Female,Black,Carpenter,New York,3
Liverpool,Lusitania,First,"Jasmine, Lam",13,1912-04-19,Male,White,Baker,New York,1
Liverpool,Baltic,Third,"Alejandro, Ouellette",55,1912-04-17,Female,White,Tailor,New York,4
Southampton,Titanic,Second,"Kaaryn, Sabin",2,1912-04-20,Female,Hispanic,Merchant,New York,2
Liverpool,Lusitania,First,"Hadbaaa, Al-yusuf",3,1912-04-17,Female,Black,Weaver,New York,1
Southampton,Britannic,First,"Philip, Theune",7,1912-04-16,Female,Asian,Farmer,New York,1
Southampton,Britannic,Third,"Rebecca, Mader",96,1912-04-16,Male,Black,Shoemaker,New York,2
Liverpool,Adriatic,Second,"Eugene, Pham",14,1912-04-15,Female,Black,None,New York,1
Liverpool,Lusitania,Second,"Kaliyah, Prince",7,1912-04-18,Female,White,None,Cherbourg,4
Southampton,Britannic,First,"Sophie, Gallogly",2,1912-04-20,Female,Black,Merchant,New York,3
Liverpool,Lusitania,First,"Ian, Espinoza",66,1912-04-19,Female,Asian,Miner,New York,4
Southampton,Britannic,Third,"Tyrel, Hauptli",7,1912-04-16,Male,White,None,New York,1
Southampton,Britannic,Third,"Allen, Herrera",7,1912-04-15,Male,Asian,Miner,New York,5
Southampton,Titanic,First,"Taamir, El-gad",44,1912-04-18,Male,Asian,Blacksmith,New York,5
Liverpool,Baltic,Second,"Malik, Crowell",10,1912-04-17,Male,Other,Mason,New York,4
Liverpool,Celtic,First,"Kimiko, Rachel",19,1912-04-17,Female,Hispanic,Weaver,New York,3
Liverpool,Baltic,Second,"Marinna, Lindgren",0,1912-04-18,Female,Black,Tailor,New York,2
Liverpool,Aquitania,First,"Alexsis, Lincoln",4,1912-04-18,Male,White,Mason,New York,3
Liverpool,Celtic,Third,"Rockelle, Bofill",35,1912-04-16,Male,White,Blacksmith,Cherbourg,2
Southampton,Titanic,Third,"Nosakhare, Phillips",27,1912-04-15,Male,Black,None,New York,4
Liverpool,Carpathia,Second,"Raihaana, Al-hashim",4,1912-04-19,Male,Other,Carpenter,New York,4
Liverpool,Mauretania,Second,"Rebekah, Hill",53,1912-04-17,Female,Asian,Weaver,New York,3
Southampton,Britannic,Third,"Hsiang, Do",85,1912-04-20,Male,Hispanic,Baker,New York,2
Liverpool,Baltic,First,"Kristina, Gutierrez",4,1912-04-17,Male,Other,Carpenter,New York,1
Liverpool,Carpathia,Second,"Clint, Carroll",25,1912-04-16,Male,Hispanic,Weaver,New York,1
Liverpool,Celtic,Second,"Aseel, El-mahfouz",88,1912-04-19,Male,Other,Miner,Cherbourg,5
Liverpool,Aquitania,Second,"Jacob, Mohabes",74,1912-04-20,Female,Black,Blacksmith,New York,1
Liverpool,Celtic,First,"Khoa, Tsumura",4,1912-04-19,Female,Black,None,New York,5
Southampton,Britannic,Second,"Enerel, Love",76,1912-04-16,Female,Black,Baker,New York,5
Southampton,Britannic,First,"Virrilyn, Mameda",99,1912-04-19,Male,White,Miner,New York,5
Liverpool,Adriatic,Third,"Cade, Monroe",6,1912-04-15,Male,Other,Carpenter,New York,5
Southampton,Olympic,Third,"Dionte, Henderson",1,1912-04-19,Female,Asian,Tailor,New York,2
Southampton,Britannic,Third,"Tanya, Hernandez",8,1912-04-16,Male,Black,Shoemaker,New York,2
Liverpool,Lusitania,Second,"Katherine, Ascher",49,1912-04-18,Female,Hispanic,Farmer,New York,3
Southampton,Olympic,Second,"Christian, Nielson",75,1912-04-18,Male,Asian,Merchant,New York,5
Southampton,Britannic,Third,"Anay, Dye",21,1912-04-20,Female,Other,Miner,New York,4
Liverpool,Baltic,Third,"Miranda, Cipriani",41,1912-04-17,Male,Other,Baker,New York,5
Liverpool,Carpathia,First,"Kerrin, Borum",41,1912-04-19,Female,Other,Merchant,Cherbourg,5
Liverpool,Carpathia,Second,"Ahmad, Cunningham",76,1912-04-15,Female,Hispanic,Tailor,New York,3
Southampton,Titanic,Second,"Thuanh, Cheung",12,1912-04-18,Female,Black,Miner,New York,5
Liverpool,Lusitania,Third,"Ashley, Grado",96,1912-04-18,Female,Asian,Weaver,Cherbourg,2
Liverpool,Aquitania,Second,"Erik, Wedemeyer",35,1912-04-20,Male,Other,Blacksmith,New York,3
Liverpool,Adriatic,First,"Nadeem, Al-salah",66,1912-04-20,Female,Other,Weaver,Cherbourg,5
Liverpool,Lusitania,Third,"Courtni, Perez",6,1912-04-19,Male,Hispanic,Farmer,New York,4
Liverpool,Adriatic,Second,"Jerrica, Faust",2,1912-04-18,Female,Other,Mason,New York,3
Liverpool,Carpathia,First,"Alani, Perez Ramirez",0,1912-04-16,Female,Black,Blacksmith,Cherbourg,1
Liverpool,Aquitania,First,"Saqr, El-ahsan",4,1912-04-20,Male,Other,Blacksmith,Cherbourg,3
Liverpool,Lusitania,Second,"Gabrielle, Parker",3,1912-04-16,Male,Other,Carpenter,New York,2
Liverpool,Adriatic,Second,"Brandon, Neuroth",92,1912-04-17,Male,Black,Miner,New York,5
Liverpool,Adriatic,First,"Amanda, Mcphail",50,1912-04-17,Female,Other,Baker,New York,4
Liverpool,Carpathia,First,"Garth, Martin",49,1912-04-19,Female,White,Blacksmith,Cherbourg,1
Liverpool,Celtic,Third,"Tyler, Kim",13,1912-04-16,Female,Other,Weaver,New York,2
Liverpool,Lusitania,Third,"Payton, Dinhvu",61,1912-04-17,Male,Black,Baker,New York,5
Liverpool,Adriatic,First,"Jeelaan, El-samara",76,1912-04-16,Male,Other,Carpenter,New York,3
Liverpool,Lusitania,Second,"Nikki, Henderson",2,1912-04-17,Female,Other,Mason,New York,3
Southampton,Britannic,Third,"Collin, Scott",64,1912-04-17,Female,Asian,Merchant,New York,4
Liverpool,Mauretania,Second,"Megean, Snow",71,1912-04-15,Male,White,Weaver,New York,3
Southampton,Titanic,Third,"Tiffany, Autterson",21,1912-04-15,Male,Black,Merchant,New York,2
Liverpool,Baltic,First,"Victoria, Talent",11,1912-04-15,Female,Asian,Miner,New York,4
Liverpool,Aquitania,Second,"Yvonne, Tran",5,1912-04-17,Male,Black,Tailor,New York,4
Liverpool,Baltic,Third,"Abbigail, Gonzalez Mejia",NA-,1912-04-15,Male,White,Weaver,New York,5
Southampton,Olympic,Third,"Hannah, Duncanson",6,1912-04-16,Female,Other,None,New York,4
Liverpool,Adriatic,Second,"Mina, Thompson",7,1912-04-17,Male,Asian,Shoemaker,New York,1
Southampton,Britannic,Third,"Morgan, Scott",16,1912-04-18,Male,Hispanic,Mason,Cherbourg,5
Liverpool,Celtic,Second,"Elijah, Franklin",9,1912-04-15,Male,Black,Blacksmith,New York,4
Southampton,Titanic,Third,"Nia, Vaughn",8,1912-04-20,Male,Other,Miner,New York,5
Liverpool,Lusitania,Second,"La Shun, Sellers",53,1912-04-19,Female,Hispanic,Merchant,New York,2
Liverpool,Lusitania,First,"Jordan, Camacho",52,1912-04-19,Male,Black,Shoemaker,New York,1
Liverpool,Mauretania,First,"Michael, Sun",84,1912-04-15,Female,Asian,Blacksmith,Cherbourg,3
Liverpool,Baltic,Third,"Naafoora, El-shehata",55,1912-04-18,Female,Asian,Shoemaker,New York,5
Liverpool,Celtic,Third,"Eric, Yang",91,1912-04-20,Female,Black,Tailor,New York,4
Liverpool,Lusitania,Second,"Kaytlyn, Slusarczyk",38,1912-04-16,Male,Hispanic,Farmer,New York,5
